Supplier_ID,Supplier_Name,Country,Reliability_Score,Lead_Time_Days,Supplier_Type
S001,PrimeSource Indsutries,USA,95,3,Premium
S002,Horizon components,Germany,92,5,Premium
S003,Vertex Supplies,China,88,7,Standard
S004,BluePeak Manufacturing,Inida,85,8,Standard
S005,Sterling Goods,Vietnam,83,9,Standard
S006,Apex Industrial,Malaysia,82,10,Standard
S007,OmniTrade Solutions,Mexico,80,10,Standard
S008,Velocity Products,Thailand,78,12,Risky
S009,Summit Supply,Indonesia,75,14,Risky
S010,GlobalCore Manufacturing,Taiwan,94,4,Premium
